time,x,y,z
0.0000e+00,2.00000000e+00,1.00000000e+00,4.00000000e+00
1.0000e-02,2.02004620e+00,1.00995068e+00,3.98980825e+00
2.0000e-02,2.04018136e+00,1.01979191e+00,3.97921502e+00
3.0000e-02,2.06039422e+00,1.02951286e+00,3.96821654e+00
4.0000e-02,2.08067277e+00,1.03910273e+00,3.95681071e+00
5.0000e-02,2.10100460e+00,1.04855038e+00,3.94499584e+00
6.0000e-02,2.12137690e+00,1.05784439e+00,3.93277069e+00
7.0000e-02,2.14177646e+00,1.06697300e+00,3.92013447e+00
8.0000e-02,2.16218969e+00,1.07592422e+00,3.90708688e+00
9.0000e-02,2.18260260e+00,1.08468578e+00,3.89362813e+00
1.0000e-01,2.20300084e+00,1.09324514e+00,3.87975897e+00
1.1000e-01,2.22336969e+00,1.10158957e+00,3.86548070e+00
1.2000e-01,2.24369411e+00,1.10970610e+00,3.85079523e+00
1.3000e-01,2.26395869e+00,1.11758161e+00,3.83570504e+00
1.4000e-01,2.28414775e+00,1.12520280e+00,3.82021326e+00
1.5000e-01,2.30424529e+00,1.13255624e+00,3.80432368e+00
1.6000e-01,2.32423504e+00,1.13962843e+00,3.78804075e+00
1.7000e-01,2.34410050e+00,1.14640575e+00,3.77136961e+00
1.8000e-01,2.36382493e+00,1.15287458e+00,3.75431610e+00
1.9000e-01,2.38339140e+00,1.15902128e+00,3.73688680e+00
2.0000e-01,2.40278282e+00,1.16483224e+00,3.71908902e+00
2.1000e-01,2.42198195e+00,1.17029393e+00,3.70093082e+00
2.2000e-01,2.44097147e+00,1.17539291e+00,3.68242101e+00
2.3000e-01,2.45973396e+00,1.18011591e+00,3.66356919e+00
2.4000e-01,2.47825199e+00,1.18444983e+00,3.64438571e+00
2.5000e-01,2.49650811e+00,1.18838180e+00,3.62488171e+00
2.6000e-01,2.51448494e+00,1.19189924e+00,3.60506909e+00
2.7000e-01,2.53216514e+00,1.19498989e+00,3.58496055e+00
2.8000e-01,2.54953152e+00,1.19764184e+00,3.56456953e+00
2.9000e-01,2.56656702e+00,1.19984359e+00,3.54391025e+00
3.0000e-01,2.58325481e+00,1.20158409e+00,3.52299767e+00
3.1000e-01,2.59957828e+00,1.20285281e+00,3.50184746e+00
3.2000e-01,2.61552109e+00,1.20363974e+00,3.48047604e+00
3.3000e-01,2.63106726e+00,1.20393546e+00,3.45890051e+00
3.4000e-01,2.64620114e+00,1.20373119e+00,3.43713862e+00
3.5000e-01,2.66090749e+00,1.20301880e+00,3.41520877e+00
3.6000e-01,2.67517152e+00,1.20179090e+00,3.39312999e+00
3.7000e-01,2.68897892e+00,1.20004082e+00,3.37092185e+00
3.8000e-01,2.70231589e+00,1.19776269e+00,3.34860447e+00
3.9000e-01,2.71516920e+00,1.19495147e+00,3.32619848e+00
4.0000e-01,2.72752618e+00,1.19160295e+00,3.30372495e+00
4.1000e-01,2.73937481e+00,1.18771384e+00,3.28120536e+00
4.2000e-01,2.75070370e+00,1.18328171e+00,3.25866155e+00
4.3000e-01,2.76150215e+00,1.17830511e+00,3.23611566e+00
4.4000e-01,2.77176015e+00,1.17278351e+00,3.21359011e+00
4.5000e-01,2.78146842e+00,1.16671738e+00,3.19110750e+00
4.6000e-01,2.79061843e+00,1.16010814e+00,3.16869058e+00
4.7000e-01,2.79920241e+00,1.15295822e+00,3.14636222e+00
4.8000e-01,2.80721336e+00,1.14527107e+00,3.12414528e+00
4.9000e-01,2.81464507e+00,1.13705111e+00,3.10206262e+00
