time,x,y,z
0.00000000e+00,2.00000000e+00,1.00000000e+00,4.00000000e+00
1.00000000e-01,2.20307332e+00,1.09393027e+00,3.88114191e+00
2.00000000e-01,2.40416498e+00,1.16727633e+00,3.72189684e+00
3.00000000e-01,2.58744377e+00,1.20657341e+00,3.52599231e+00
4.00000000e-01,2.73571908e+00,1.19927962e+00,3.30493685e+00
5.00000000e-01,2.83407263e+00,1.13772282e+00,3.07732845e+00
6.00000000e-01,2.87346195e+00,1.02280035e+00,2.86580496e+00
7.00000000e-01,2.85255729e+00,8.65168068e-01,2.69178126e+00
8.00000000e-01,2.77690332e+00,6.82913945e-01,2.57022970e+00
9.00000000e-01,2.65623184e+00,4.96775022e-01,2.50686033e+00
1.00000000e+00,2.50166309e+00,3.25194212e-01,2.49852036e+00
1.10000000e+00,2.32397038e+00,1.81083113e-01,2.53590550e+00
1.20000000e+00,2.13295383e+00,7.08499493e-02,2.60699471e+00
1.30000000e+00,1.93735171e+00,-4.79619366e-03,2.69995276e+00
1.40000000e+00,1.74479745e+00,-4.91342412e-02,2.80493393e+00
1.50000000e+00,1.56167470e+00,-6.75795419e-02,2.91478459e+00
1.60000000e+00,1.39295518e+00,-6.61628685e-02,3.02494524e+00
1.70000000e+00,1.24213806e+00,-5.05159923e-02,3.13292603e+00
1.80000000e+00,1.11134000e+00,-2.53353805e-02,3.23766188e+00
1.90000000e+00,1.00151164e+00,5.80059283e-03,3.33893335e+00
2.00000000e+00,9.12723314e-01,4.03996892e-02,3.43692973e+00
2.10000000e+00,8.44464532e-01,7.69198587e-02,3.53195911e+00
2.20000000e+00,7.95920068e-01,1.14601528e-01,3.62427540e+00
2.30000000e+00,7.66204521e-01,1.53307773e-01,3.71398348e+00
2.40000000e+00,7.54551275e-01,1.93389972e-01,3.80098742e+00
2.50000000e+00,7.60459179e-01,2.35583473e-01,3.88495460e+00
2.60000000e+00,7.83802730e-01,2.80930451e-01,3.96527604e+00
2.70000000e+00,8.24910131e-01,3.30722354e-01,4.04100851e+00
2.80000000e+00,8.84608974e-01,3.86449768e-01,4.11078726e+00
2.90000000e+00,9.64231109e-01,4.49741094e-01,4.17270004e+00
3.00000000e+00,1.06555520e+00,5.22261520e-01,4.22411660e+00
3.10000000e+00,1.19064635e+00,6.05528923e-01,4.26147619e+00
3.20000000e+00,1.34152653e+00,7.00584107e-01,4.28005658e+00
3.30000000e+00,1.51958303e+00,8.07435207e-01,4.27379305e+00
3.40000000e+00,1.72461298e+00,9.24199899e-01,4.23529777e+00
3.50000000e+00,1.95345585e+00,1.04593920e+00,4.15635280e+00
3.60000000e+00,2.19835962e+00,1.16338634e+00,4.02926848e+00
3.70000000e+00,2.44562759e+00,1.26217996e+00,3.84946170e+00
3.80000000e+00,2.67560943e+00,1.32369571e+00,3.61913371e+00
3.90000000e+00,2.86524948e+00,1.32862148e+00,3.35082626e+00
4.00000000e+00,2.99341272e+00,1.26324949e+00,3.06841273e+00
4.10000000e+00,3.04701835e+00,1.12606559e+00,2.80326156e+00
4.20000000e+00,3.02445910e+00,9.30590886e-01,2.58601688e+00
4.30000000e+00,2.93421194e+00,7.02078887e-01,2.43792236e+00
4.40000000e+00,2.79013521e+00,4.69784455e-01,2.36620577e+00
4.50000000e+00,2.60691010e+00,2.59083838e-01,2.36501681e+00
4.60000000e+00,2.39775406e+00,8.67186358e-02,2.42004845e+00
4.70000000e+00,2.17413140e+00,-4.01802659e-02,2.51395245e+00
4.80000000e+00,1.94613452e+00,-1.22406060e-01,2.63056422e+00
4.90000000e+00,1.72262737e+00,-1.65854315e-01,2.75724227e+00
5.00000000e+00,1.51102575e+00,-1.78748150e-01,2.88550993e+00
5.10000000e+00,1.31699184e+00,-1.69545999e-01,3.01058124e+00
5.20000000e+00,1.14430118e+00,-1.45693200e-01,3.13038979e+00
5.30000000e+00,9.94960870e-01,-1.13084517e-01,3.24457494e+00
5.40000000e+00,8.69518615e-01,-7.59963196e-02,3.35366355e+00
5.50000000e+00,7.67457895e-01,-3.72640119e-02,3.45851274e+00
5.60000000e+00,6.87592704e-01,1.45199101e-03,3.55998286e+00
5.70000000e+00,6.28412548e-01,3.94001504e-02,3.65877503e+00
5.80000000e+00,5.88360427e-01,7.65114804e-02,3.75536871e+00
5.90000000e+00,5.66046172e-01,1.13225168e-01,3.85000944e+00
6.00000000e+00,5.60406598e-01,1.50365129e-01,3.94271284e+00
6.10000000e+00,5.70826587e-01,1.89061442e-01,4.03326355e+00
6.20000000e+00,5.97234200e-01,2.30709021e-01,4.12119510e+00
6.30000000e+00,6.40179902e-01,2.76955057e-01,4.20573974e+00
